School Year,School Level,School ID,School Name,State School ID,Zip Code,Grade PreK 3yrs,Grade PreK 4yrs,Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,American Indian or Alaska Native,Asian,Black or African American,Hispanic/Latino,Native Hawaiian or Other Pacific Islander,White,Male,Female,Economically Disadvantaged,Disability,Limited English Proficiency,Latitude,Longitude,Mapped Location
18-19,Charter,743,Valor Flagship Academy,8045,37211,,,,,,,,120,120,116,133,223,,,,,45,104,131,2,430,349,363,230,78,185,36.07080058,-86.72549463,"(36.07080058, -86.72549463)"
18-19,Middle School,545,Madison Middle,622,37115,,,,,,,,156,131,123,144,,,,,,2,316,166,,70,303,251,382,81,145,36.26389402,-86.71620849,"(36.26389402, -86.71620849)"
18-19,High School,450,Hume-Fogg High,355,37203,,,,,,,,,,,,222,228,224,209,4,95,206,57,1,520,338,545,81,36,3,36.15952461,-86.78153602,"(36.15952461, -86.78153602)"
18-19,Elementary School,575,Thomas A. Edison Elementary,208,37013,4,31,135,156,155,144,164,,,,,,,,,,19,281,214,1,274,406,383,377,79,314,36.06288453,-86.60463837,"(36.06288453, -86.60463837)"
18-19,Elementary School,185,Carter-Lawrence Elementary,670,37203,,17,44,44,58,52,63,,,,,,,,,1,2,225,19,1,30,139,139,162,31,37,36.14365344,-86.78585349,"(36.14365344, -86.78585349)"
18-19,High School,290,East Nashville School,203,37206,,,,,,,,,,,,172,180,190,145,1,5,631,18,,32,303,384,272,52,3,36.18062644,-86.75047137,"(36.18062644, -86.75047137)"
18-19,Charter,305,Explore Community School,8060,37206,,,68,76,68,68,,,,,,,,,,1,2,147,14,,116,129,151,127,38,4,36.17436415,-86.75164889,"(36.17436415, -86.75164889)"
18-19,Charter,501,KIPP Nashville College Prep Elementary,8085,37207,,,83,91,76,,,,,,,,,,,2,,224,18,,6,135,115,171,34,14,36.23825258,-86.80366466,"(36.23825258, -86.80366466)"
18-19,Middle School,783,Creswell Middle School of the Arts,700,37218,,,,,,,,111,94,85,101,,,,,2,1,336,10,,42,144,247,188,47,3,36.19606322,-86.83753939,"(36.19606322, -86.83753939)"
18-19,Charter,696,STEM Prep High School,8075,37210,,,,,,,,,,,,135,120,105,96,,9,70,261,,116,244,212,170,43,153,36.13541685,-86.73862237,"(36.13541685, -86.73862237)"
18-19,Middle School,238,Croft Middle,148,37211,,,,,,,,219,193,182,174,,,,,,21,160,369,,218,396,372,307,81,316,36.08747494,-86.73414769,"(36.08747494, -86.73414769)"
